url,sku,brand,product_name_du,unit_du,regular_price,current_price,product_name_en
https://www.hoogvliet.com/product/hoogvliet-komkommer1,64786000,Hoogvliet,Komkommer,1 stuk,0.79,0.69,Cucumber
https://www.hoogvliet.com/product/hoogvliet-bananen,671474000,Hoogvliet,Bananen,1 tros,1.35,1.35,Bananas
https://www.hoogvliet.com/product/sanlucar-mandarijnen,683144000,SanLucar,Mandarijnen,750 gram,1.99,1.99,Mandarins
https://www.hoogvliet.com/product/hoogvliet-pitloze-rode-druiven,1427000,Hoogvliet,Pitloze rode druiven,500 gram,2.45,2.45,Seedless red grapes
https://www.hoogvliet.com/product/hoogvliet-hollandse-rode-paprika,75080000,Hoogvliet,Hollandse rode paprika,1 stuk,0.55,0.55,Dutch red pepper
https://www.hoogvliet.com/product/hoogvliet-kiwi-gold2,730771000,Hoogvliet,Kiwi gold,1 stuk,0.91,0.91,Kiwi gold
https://www.hoogvliet.com/product/hoogvliet-snack-tomaten-500-gram,47519000,Hoogvliet,Snack tomaten 500 gram,500 gram,2.99,2.99,Snack tomatoes 500 grams
https://www.hoogvliet.com/product/hoogvliet-sperziebonen3,205591000,Hoogvliet,Sperziebonen,500 gram,1.69,1.69,Green beans
https://www.hoogvliet.com/product/hoogvliet-courgette,2499000,Hoogvliet,Courgette,1 stuk,0.55,0.55,Zucchini
https://www.hoogvliet.com/product/aardappel-kruimig,726386000,,Aardappel kruimig,1 kilo,1.59,1.59,Potato floury
https://www.hoogvliet.com/product/hoogvliet-bloemkool1,206431000,Hoogvliet,Bloemkool,1 stuk,1.65,1.65,Cauliflower
https://www.hoogvliet.com/product/hoogvliet-pitloze-witte-druiven,737000,Hoogvliet,Pitloze witte druiven,500 gram,2.45,2.45,Seedless white grapes
https://www.hoogvliet.com/product/hoogvliet-paprika-mix,211990000,Hoogvliet,Paprika mix,3 stuk,1.79,1.79,Pepper mix
https://www.hoogvliet.com/product/hoogvliet-trostomaten2,730767000,Hoogvliet,Trostomaten,1 tros,0.89,0.89,Vine tomatoes
https://www.hoogvliet.com/product/hoogvliet-champignons,205133000,Hoogvliet,Champignons,250 gram,0.99,0.99,Mushrooms
https://www.hoogvliet.com/product/hoogvliet-blauwe-bessen1,81222000,Hoogvliet,Blauwe bessen,300 gram,4.39,4.39,Blueberries
https://www.hoogvliet.com/product/prei,730466000,,Prei,1 stuk,0.49,0.49,Leek
https://www.hoogvliet.com/product/streek-elstar-appels,690803000,Streek,Elstar appels,1.5 kilo,2.85,2.85,Elstar apples
https://www.hoogvliet.com/product/hoogvliet-snack-tomaten,674644000,Hoogvliet,Snack tomaten,250 gram,1.79,1.79,Snack tomatoes
https://www.hoogvliet.com/product/hoogvliet-perssinaasappels,33643000,Hoogvliet,Perssinaasappels,2 kilo,2.89,2.89,Press oranges
https://www.hoogvliet.com/product/avocado1,730957000,,Avocado,1 stuk,1.29,1.29,Avocado
https://www.hoogvliet.com/product/hoogvliet-broccoli2,730768000,Hoogvliet,Broccoli,1 stuk,0.99,0.99,Broccoli
https://www.hoogvliet.com/product/hoogvliet-mandarijnen-net,33647000,Hoogvliet,Mandarijnen net,1 kilo,1.99,1.99,Tangerines net
https://www.hoogvliet.com/product/snack-komkommer,723936000,,Snack komkommer,230 gram,2.25,2.25,Snack cucumber
https://www.hoogvliet.com/product/aardappel-vastkokend,726387000,,Aardappel vastkokend,1 kilo,1.55,1.55,Potato waxy
https://www.hoogvliet.com/product/starberry-hollandse-aardbeien,729202000,Starberry,Hollandse aardbeien,400 gram,3.99,3.99,Dutch strawberries
https://www.hoogvliet.com/product/bio-biologische-bananen,679527000,Bio+,Biologische bananen,5 stuk,1.89,1.89,Organic bananas
https://www.hoogvliet.com/product/jonagold-appels,210412000,,Jonagold appels,1.5 kilo,2.45,2.45,Jonagold apples
https://www.hoogvliet.com/product/macaroni-spaghetti-groenten1,726551000,,Macaroni/spaghetti groenten,450 gram,1.79,1.79,Macaroni/spaghetti vegetables
https://www.hoogvliet.com/product/stamppot-aardappelen,63479000,,Stamppot aardappelen,1 kilo,1.49,1.49,Potato stew
https://www.hoogvliet.com/product/aardappelen-kruimig,726434000,,Aardappelen kruimig,3 kilo,3.89,3.89,Potatoes floury
https://www.hoogvliet.com/product/hoogvliet-cherry-tomaten1,70476000,Hoogvliet,Cherry tomaten,250 gram,0.99,0.99,Cherry tomatoes
https://www.hoogvliet.com/product/hoogvliet-ijsbergsla-naturel,9553000,Hoogvliet,IJsbergsla naturel,200 gram,0.99,0.99,Iceberg lettuce natural
https://www.hoogvliet.com/product/nasi-bami-groenten1,726549000,,Nasi bami groenten,450 gram,1.79,1.79,Nasi noodles vegetables
https://www.hoogvliet.com/product/rode-puntpaprika,726830000,,Rode puntpaprika,500 gram,2.89,2.89,Red pointed pepper
https://www.hoogvliet.com/product/eat-me-mango,64578000,Eat Me,Mango,1 stuk,1.79,1.79,Mango
https://www.hoogvliet.com/product/hoogvliet-rucola3,718521000,Hoogvliet,Rucola,85 gram,0.99,0.99,Arugula
https://www.hoogvliet.com/product/hoogvliet-ijsbergsla-naturel2,673297000,Hoogvliet,Ijsbergsla naturel,100 gram,0.98,0.98,Iceberg lettuce natural
https://www.hoogvliet.com/product/hoogvliet-boerenkool-fijn,670818000,Hoogvliet,Boerenkool fijn,500 gram,1.99,1.99,Kale fine
https://www.hoogvliet.com/product/hoogvliet-ijsbergsla1,207616000,Hoogvliet,IJsbergsla,1 stuk,0.99,0.99,Iceberg lettuce
https://www.hoogvliet.com/product/hoogvliet-bosuien,204803000,Hoogvliet,Bosuien,1 stuk,0.79,0.79,Spring onions
https://www.hoogvliet.com/product/hoogvliet-italiaanse-roerbak,41183000,Hoogvliet,Italiaanse roerbak,400 gram,1.99,1.99,Italian stir fry
https://www.hoogvliet.com/product/hoogvliet-panklare-sperziebonen-voordeelzak,79980000,Hoogvliet,Panklare sperziebonen voordeelzak,400 gram,2.19,2.19,Ready-made green beans value bag
https://www.hoogvliet.com/product/hoogvliet-kiwi-groen1,730770000,Hoogvliet,Kiwi groen,1 stuk,0.91,0.91,Kiwi green
https://www.hoogvliet.com/product/hoogvliet-champignons-middel,47977000,Hoogvliet,Champignons middel,400 gram,1.55,1.55,Mushroom medium
https://www.hoogvliet.com/product/hoogvliet-gember,52220000,Hoogvliet,Gember,250 gram,2.68,2.68,Ginger
https://www.hoogvliet.com/product/hoogvliet-witlof1,205796000,Hoogvliet,Witlof,500 gram,1.59,1.59,Chicory
https://www.hoogvliet.com/product/blauwe-bessen,725287000,,Blauwe bessen,150 gram,2.99,2.99,Blueberries
https://www.hoogvliet.com/product/knoflook-staaf,730921000,,Knoflook staaf,3 stuk,1.25,1.25,Garlic stick
https://www.hoogvliet.com/product/hoogvliet-uien,201715000,Hoogvliet,Uien,1 kilo,0.59,0.59,Onions
https://www.hoogvliet.com/product/pink-lady-pink-lady-op-schaal,726992000,Pink lady,Pink lady op schaal,4 stuk,3.45,3.45,Pink lady to scale
https://www.hoogvliet.com/product/aardappelen-kruimig1,727541000,,Aardappelen kruimig,500 gram,1.29,1.29,Potatoes floury
https://www.hoogvliet.com/product/bio-biologische-winterpeen,212903000,Bio+,Biologische winterpeen,1 kilo,1.39,1.39,Organic winter carrots
https://www.hoogvliet.com/product/aardappelen-vastkokend,726436000,,Aardappelen vastkokend,3 kilo,3.89,3.89,Waxy potatoes
https://www.hoogvliet.com/product/hoogvliet-spinazie3,713846000,Hoogvliet,Spinazie,400 gram,1.99,1.99,Spinach
https://www.hoogvliet.com/product/minikrieltjes3,727540000,,Minikrieltjes,700 gram,1.29,1.29,Mini potatoes
https://www.hoogvliet.com/product/verse-frites1,721853000,,Verse frites,1 kilo,2.39,2.39,Fresh fries
https://www.hoogvliet.com/product/hoogvliet-snijbonen-gesneden1,38842000,Hoogvliet,Snijbonen gesneden,400 gram,2.19,2.19,Cut string beans
https://www.hoogvliet.com/product/morgana-appels,727009000,,Morgana appels,1.5 kilo,3.49,3.49,Morgana apples
https://www.hoogvliet.com/product/hoogvliet-rode-uien-net-3-stuks,56234000,Hoogvliet,Rode uien net 3 stuks,1 stuk,0.99,0.99,Red onions just 3 pieces
https://www.hoogvliet.com/product/minikrieltjes2,727539000,,Minikrieltjes,500 gram,1.05,1.05,Mini potatoes
https://www.hoogvliet.com/product/hoogvliet-andijvie-fijn,41212000,Hoogvliet,Andijvie fijn,250 gram,1.29,1.29,Endive fine
https://www.hoogvliet.com/product/hoogvliet-hollandse-worteltjes,206725000,Hoogvliet,Hollandse worteltjes,500 gram,0.99,0.99,Dutch carrots
https://www.hoogvliet.com/product/iglo-spinazie-la-cr-me1,703786000,Iglo,Spinazie à la crème,500 gram,1.39,1.39,Spinach à la crème
https://www.hoogvliet.com/product/hoogvliet-andijvie-fijn-voordeelzak,75839000,Hoogvliet,Andijvie fijn voordeelzak,500 gram,2.69,2.69,Endive fine value bag
https://www.hoogvliet.com/product/bistro-minikrieltjes1,727551000,,Bistro minikrieltjes,500 gram,1.09,1.09,Bistro mini potatoes
https://www.hoogvliet.com/product/hoogvliet-handsinaasappels2,33645000,Hoogvliet,Handsinaasappels,2 kilo,2.89,2.89,Hand oranges
https://www.hoogvliet.com/product/hoogvliet-bospeen,220728000,Hoogvliet,Bospeen,1 stuk,1.49,1.49,Bunch of carrots
https://www.hoogvliet.com/product/streek-conference-handperen,726843000,Streek,Conference handperen,1 kilo,1.79,1.79,Conference hand pears
https://www.hoogvliet.com/product/sanlucar-citroenen,683142000,SanLucar,Citroenen,1 stuk,1.25,1.25,Lemons
https://www.hoogvliet.com/product/tasty-cherry-pruim-tros-tomaten,727337000,Tasty,Cherry pruim tros tomaten,400 gram,3.79,3.79,Cherry plum bunch of tomatoes
https://www.hoogvliet.com/product/hoogvliet-snackwortels,671598000,Hoogvliet,Snackwortels,350 gram,1.59,1.59,Snack carrots
https://www.hoogvliet.com/product/aardappelschijfjes3,727547000,,Aardappelschijfjes,500 gram,0.99,0.99,Potato slices
https://www.hoogvliet.com/product/kramer-naturel-zuurkool,216445000,Kramer,Naturel zuurkool,500 gram,0.69,0.69,Natural sauerkraut
https://www.hoogvliet.com/product/bio-biologische-bieten,206466000,Bio+,Biologische bieten,500 gram,1.39,1.39,Organic beets
https://www.hoogvliet.com/product/hoogvliet-snijbonen,81695000,Hoogvliet,Snijbonen,400 gram,1.99,1.99,String beans
https://www.hoogvliet.com/product/hoogvliet-uien1,204781000,Hoogvliet,Uien,2 kilo,1.29,1.29,Onions
https://www.hoogvliet.com/product/hoogvliet-galia-meloen1,210625000,Hoogvliet,Galia meloen,1 stuk,1.99,1.99,Galia melon
https://www.hoogvliet.com/product/snack-paprika,723937000,,Snack paprika,175 gram,2.15,2.15,Snack peppers
https://www.hoogvliet.com/product/hoogvliet-soepgroenten3,718525000,Hoogvliet,Soepgroenten,400 gram,1.15,1.15,Soup vegetables
https://www.hoogvliet.com/product/hoogvliet-kastanjechampignons1,671903000,Hoogvliet,Kastanjechampignons,250 gram,1.59,1.59,Chestnut mushrooms
https://www.hoogvliet.com/product/hoogvliet-aubergine,1014000,Hoogvliet,Aubergine,1 stuk,0.75,0.75,Eggplant
https://www.hoogvliet.com/product/hoogvliet-ijsbergsla-gemengd1,9550000,Hoogvliet,IJsbergsla gemengd,200 gram,1.25,1.25,Iceberg lettuce mixed
https://www.hoogvliet.com/product/hoogvliet-andijvie-grof1,9565000,Hoogvliet,Andijvie grof,400 gram,1.79,1.79,Endive coarse
https://www.hoogvliet.com/product/dulcita-tros-cherrytomaten,723450000,Dulcita,Tros cherrytomaten,250 gram,3.15,3.15,Bunch of cherry tomatoes
https://www.hoogvliet.com/product/eat-me-avocado-ready-to-eat,730745000,Eat Me,Avocado ready to eat,2 stuk,2.79,2.79,Avocado ready to eat
https://www.hoogvliet.com/product/hoogvliet-kanzi-appels,75351000,Hoogvliet,Kanzi appels,1.5 kilo,3.69,3.69,Kanzi apples
https://www.hoogvliet.com/product/hoogvliet-chinese-wok1,41182000,Hoogvliet,Chinese wok,400 gram,2.15,2.15,Chinese wok
https://www.hoogvliet.com/product/hoogvliet-puntpaprika-verpakt,709259000,Hoogvliet,Puntpaprika verpakt,4 stuk,3.19,3.19,Pointed pepper packed
https://www.hoogvliet.com/product/hoogvliet-rode-uien,28874000,Hoogvliet,Rode uien,1 kilo,1.19,1.19,Red onions
https://www.hoogvliet.com/product/cocktail-trostomaten,723608000,,Cocktail trostomaten,500 gram,2.99,2.99,Cocktail vine tomatoes
https://www.hoogvliet.com/product/hoogvliet-spinazie,713845000,Hoogvliet,Spinazie,200 gram,1.65,1.65,Spinach
https://www.hoogvliet.com/product/hoogvliet-hutspot3,43222000,Hoogvliet,Hutspot,500 gram,1.59,1.59,Stew
https://www.hoogvliet.com/product/krieltjes1,713458000,,Krieltjes,500 gram,1.09,1.09,Baby potatoes
https://www.hoogvliet.com/product/aardappelschijfjes2,727548000,,Aardappelschijfjes,700 gram,1.38,1.38,Potato slices
https://www.hoogvliet.com/product/hoogvliet-gemengde-sla2,716696000,Hoogvliet,Gemengde sla,125 gram,2.18,2.18,Mixed lettuce
https://www.hoogvliet.com/product/heinz-tomato-gezeefd,58822000,Heinz,Tomato gezeefd,520 gram,1.29,1.29,Tomato sieved
https://www.hoogvliet.com/product/hoogvliet-tauge2,718519000,Hoogvliet,Tauge,125 gram,1.05,1.05,Bean sprouts
https://www.hoogvliet.com/product/hoogvliet-slaschotel-caesar3,709891000,Hoogvliet,Slaschotel caesar,285 gram,4.2,4.2,Caesar salad dish
https://www.hoogvliet.com/product/hoogvliet-bleekselderij,219215000,Hoogvliet,Bleekselderij,1 stuk,1.15,1.15,Celery
https://www.hoogvliet.com/product/frambozen,725284000,,Frambozen,150 gram,2.95,2.95,Raspberries
https://www.hoogvliet.com/product/bistro-minikrieltjes2,727552000,,Bistro minikrieltjes,700 gram,1.48,1.48,Bistro mini potatoes
https://www.hoogvliet.com/product/ijsbergsla-fijn,724232000,,IJsbergsla fijn,200 gram,1.59,1.59,Iceberg lettuce fine
https://www.hoogvliet.com/product/hoogvliet-boerenkool,9566000,Hoogvliet,Boerenkool,300 gram,1.95,1.95,Kale
https://www.hoogvliet.com/product/iglo-spinazie-a-la-creme2,72075000,Iglo,Spinazie a la Creme,750 gram,2.05,2.05,Spinach a la Creme
https://www.hoogvliet.com/product/verse-basilicum,714681000,,Verse basilicum,15 gram,1.15,1.15,Fresh basil
https://www.hoogvliet.com/product/hak-bruine-bonen-uit-zeeland,670088000,Hak,Bruine bonen uit Zeeland,720 gram,2.89,2.89,Brown beans from Zeeland
https://www.hoogvliet.com/product/fresh-amp-easy-verspakket-curry-madras,689606000,Fresh & easy,Verspakket curry madras,1.09 kilo,6.18,6.18,Fresh package of curry madras
https://www.hoogvliet.com/product/hoogvliet-kropsla,211850000,Hoogvliet,Kropsla,1 stuk,0.79,0.79,Head lettuce
https://www.hoogvliet.com/product/bio-biologische-komkommer,61916000,Bio+,Biologische  komkommer,1 stuk,1.29,1.29,Organic cucumber
https://www.hoogvliet.com/product/g-apos-woon-maiskorrels,691031000,G'woon,Maiskorrels,300 gram,0.99,0.99,Corn kernels
https://www.hoogvliet.com/product/granny-smith-appels-op-schaal,726943000,,Granny smith appels op schaal,4 stuk,2.75,2.75,Granny Smith apples on a scale
https://www.hoogvliet.com/product/g-apos-woon-gebroken-bonen1,717722000,G'woon,Gebroken bonen,800 gram,1.55,1.55,Broken beans
https://www.hoogvliet.com/product/hak-witte-bonen-in-tomatensaus,76908000,Hak,Witte bonen in tomatensaus,360 gram,2.49,2.49,Baked beans
https://www.hoogvliet.com/product/hoogvliet-fijne-roerbak,73076000,Hoogvliet,Fijne roerbak,400 gram,2.39,2.39,Nice stir fry
https://www.hoogvliet.com/product/groene-kiwi,718073000,,Groene kiwi,1 kilo,3.99,3.99,Green kiwi
https://www.hoogvliet.com/product/hoogvliet-champignon-roerbak,53285000,Hoogvliet,Champignon roerbak,400 gram,2.19,2.19,Mushroom stir fry
https://www.hoogvliet.com/product/hak-bruine-bonen-uit-zeeland1,672272000,Hak,Bruine bonen uit Zeeland,370 gram,1.87,1.87,Brown beans from Zeeland
https://www.hoogvliet.com/product/hoogvliet-japanse-wok,41197000,Hoogvliet,Japanse wok,400 gram,2.95,2.95,Japanese wok
https://www.hoogvliet.com/product/soepgroenten-fijn,728629000,,Soepgroenten fijn,250 gram,1.09,1.09,Soup vegetables fine
https://www.hoogvliet.com/product/hoogvliet-limoen-3-stuks,64462000,Hoogvliet,Limoen 3 stuks,220 gram,0.99,0.99,Lime 3 pieces
https://www.hoogvliet.com/product/pruim-tomaten,726205000,,Pruim tomaten,750 gram,2.59,2.59,Plum tomatoes
https://www.hoogvliet.com/product/iglo-rode-kool-met-appeltjes,76860000,Iglo,Rode kool met appeltjes,450 gram,1.95,1.95,Red cabbage with apples
https://www.hoogvliet.com/product/verse-platte-peterselie,714676000,,Verse platte peterselie,15 gram,1.15,1.15,Fresh flat-leaf parsley
https://www.hoogvliet.com/product/pijnboompitten,705688000,,Pijnboompitten,100 gram,4.99,4.99,Pine nuts
https://www.hoogvliet.com/product/verse-koriander,714677000,,Verse koriander,15 gram,1.15,1.15,Fresh coriander
https://www.hoogvliet.com/product/hoogvliet-worteltjes-voordeelzak,80052000,Hoogvliet,Worteltjes voordeelzak,500 gram,0.99,0.99,Carrots value bag
https://www.hoogvliet.com/product/hoogvliet-prei-fijn1,679013000,Hoogvliet,Prei fijn,200 gram,0.99,0.99,Leek fine
https://www.hoogvliet.com/product/hoogvliet-thaise-wok,61298000,Hoogvliet,Thaise wok,400 gram,2.25,2.25,Thai wok
https://www.hoogvliet.com/product/snipperuien-wit,730169000,,Snipperuien wit,175 gram,1.99,1.99,White onions
https://www.hoogvliet.com/product/hoogvliet-uienringen,35983000,Hoogvliet,Uienringen,300 gram,2.25,2.25,Onion rings
https://www.hoogvliet.com/product/aardappelpart-met-schil,727549000,,Aardappelpart met schil,500 gram,1.19,1.19,Potato wedge with skin
https://www.hoogvliet.com/product/hoogvliet-rucola-melange5,61283000,Hoogvliet,Rucola melange,75 gram,1.19,1.19,Arugula blend
https://www.hoogvliet.com/product/macaroni-spaghetti-groenten,726550000,,Macaroni/spaghetti groenten,250 gram,1.39,1.39,Macaroni/spaghetti vegetables
https://www.hoogvliet.com/product/opbakaardapppelen-gekruid,727544000,,Opbakaardapppelen gekruid,500 gram,1.59,1.59,Seasoned fried potatoes
https://www.hoogvliet.com/product/g-apos-woon-boerenkool3,727219000,G'woon,Boerenkool,800 gram,1.59,1.59,Kale
https://www.hoogvliet.com/product/hoogvliet-gele-paprika,44499000,Hoogvliet,Gele paprika,1 stuk,0.99,0.99,Yellow pepper
https://www.hoogvliet.com/product/pompoen,730171000,,Pompoen,400 gram,2.99,2.99,Pumpkin
https://www.hoogvliet.com/product/g-apos-woon-blauwe-bessen-framboos,681538000,G'woon,Blauwe bessen/framboos,250 gram,2.77,2.77,Blueberries/raspberry
https://www.hoogvliet.com/product/healthyhand-watermeloenblokjes,725772000,Healthyhand,Watermeloenblokjes,150 gram,2.46,2.46,Watermelon cubes
https://www.hoogvliet.com/product/fresh-amp-easy-verspakket-erwtensoep,689602000,Fresh & easy,Verspakket erwtensoep,931 gram,3.95,3.95,Fresh package of pea soup
https://www.hoogvliet.com/product/g-apos-woon-sperziebonen-gebroken2,690893000,G'woon,Sperziebonen gebroken,680 gram,1.19,1.19,Green beans broken
https://www.hoogvliet.com/product/nasi-bami-groenten,726552000,,Nasi/bami groenten,250 gram,1.55,1.55,Nasi/bami vegetables
https://www.hoogvliet.com/product/halve-kriel-in-schil,727546000,,Halve kriel in schil,500 gram,1.09,1.09,Half a bantam in skin
https://www.hoogvliet.com/product/bonduelle-mexico-melange1,60851000,Bonduelle,Mexico melange,400 gram,2.05,2.05,Mexico blend
https://www.hoogvliet.com/product/hoogvliet-italiaanse-roerbak1,56071000,Hoogvliet,Italiaanse roerbak,250 gram,1.85,1.85,Italian stir fry
https://www.hoogvliet.com/product/hoogvliet-sperziebonen7,79982000,Hoogvliet,Sperziebonen,200 gram,1.95,1.95,Green beans
https://www.hoogvliet.com/product/hoogvliet-veldsla4,718522000,Hoogvliet,Veldsla,85 gram,1.29,1.29,Lamb's lettuce
https://www.hoogvliet.com/product/healthyhand-ananasblokjes,725773000,Healthyhand,Ananasblokjes,150 gram,2.3,2.3,Pineapple cubes
https://www.hoogvliet.com/product/valle-del-sole-spliterwten,215929000,Valle del sole,Spliterwten,500 gram,1.35,1.35,Split peas
https://www.hoogvliet.com/product/hak-rode-kool-met-stukjes-appel,78439000,Hak,Rode kool met stukjes appel,355 gram,2.25,2.25,Red cabbage with apple pieces
https://www.hoogvliet.com/product/hoogvliet-hutspot-voordeelzak,77080000,Hoogvliet,Hutspot voordeelzak,1 kilo,1.89,1.89,Hutspot value bag
https://www.hoogvliet.com/product/g-apos-woon-aardbeien,681526000,G'woon,Aardbeien,225 gram,1.53,1.53,Strawberries
https://www.hoogvliet.com/product/hoogvliet-verse-zuurkool,43216000,Hoogvliet,Verse zuurkool,500 gram,1.75,1.75,Fresh sauerkraut
https://www.hoogvliet.com/product/verse-munt1,715685000,,Verse munt,40 gram,0.99,0.99,Fresh mint
https://www.hoogvliet.com/product/hoogvliet-groene-salade-italiaans,709893000,Hoogvliet,Groene salade italiaans,240 gram,3.76,3.76,Green salad Italian
https://www.hoogvliet.com/product/hoogvliet-kastanjechampignons2,685646000,Hoogvliet,Kastanjechampignons,400 gram,2.49,2.49,Chestnut mushrooms
https://www.hoogvliet.com/product/hoogvliet-flespompoen,81475000,Hoogvliet,Flespompoen,1 stuk,1.99,1.99,Butternut squash
https://www.hoogvliet.com/product/verspakket-eenpansgerecht-grieks,728913000,,Verspakket eenpansgerecht grieks,1.179 kilo,4.49,4.49,Fresh package of one-pan Greek dish
https://www.hoogvliet.com/product/hak-doperwtjes-worteltjes-extra-fijn1,76915000,Hak,Doperwtjes & worteltjes extra fijn,350 gram,1.99,1.99,Peas & carrots extra fine
https://www.hoogvliet.com/product/hoogvliet-mexicaanse-roerbak,75215000,Hoogvliet,Mexicaanse roerbak,400 gram,2.39,2.39,Mexican stir fry
https://www.hoogvliet.com/product/g-apos-woon-zomerfruit,681535000,G'woon,Zomerfruit,250 gram,2.1,2.1,Summer fruits
https://www.hoogvliet.com/product/g-apos-woon-spinazie-fijn-gehakt,717724000,G'woon,Spinazie fijn gehakt,800 gram,1.23,1.23,Spinach finely chopped
https://www.hoogvliet.com/product/hoogvliet-rucola-melange,75837000,Hoogvliet,Rucola melange,150 gram,2.35,2.35,Arugula blend
https://www.hoogvliet.com/product/hoogvliet-wortel-julienne,679010000,Hoogvliet,Wortel julienne,150 gram,0.99,0.99,Carrot julienne
https://www.hoogvliet.com/product/pagysa-rozijnen,716670000,Pagysa,Rozijnen,750 gram,3.09,3.09,Raisins
https://www.hoogvliet.com/product/aardappelen-vastkokend2,727542000,,Aardappelen vastkokend,500 gram,1.15,1.15,Waxy potatoes
https://www.hoogvliet.com/product/hoogvliet-radijs1,211214000,Hoogvliet,Radijs,1 stuk,0.89,0.89,Radish
https://www.hoogvliet.com/product/iglo-spinazie-fijn-gehakt1,703787000,Iglo,Spinazie fijn gehakt,500 gram,1.39,1.39,Spinach finely chopped
https://www.hoogvliet.com/product/healthyhand-fruitmix-tropisch,725778000,Healthyhand,Fruitmix tropisch,150 gram,2,2,Fruit mix tropical
https://www.hoogvliet.com/product/healthyhand-meloen-medley,725774000,Healthyhand,Meloen medley,150 gram,2.46,2.46,Melon medley
https://www.hoogvliet.com/product/verse-krul-peterselie,714685000,,Verse krul peterselie,30 gram,1.15,1.15,Fresh curl of parsley
https://www.hoogvliet.com/product/healthyhand-mangoblokjes,725771000,Healthyhand,Mangoblokjes,120 gram,2.46,2.46,Mango cubes
https://www.hoogvliet.com/product/hoogvliet-ijsbergsla-gemengd2,708193000,Hoogvliet,IJsbergsla gemengd,100 gram,1.05,1.05,Iceberg lettuce mixed
https://www.hoogvliet.com/product/hoogvliet-oosterse-wok,679015000,Hoogvliet,Oosterse wok,400 gram,2.65,2.65,Oriental wok
https://www.hoogvliet.com/product/hoogvliet-spruiten-panklaar,43219000,Hoogvliet,Spruiten panklaar,350 gram,2.45,2.45,Sprouts ready to cook
https://www.hoogvliet.com/product/hoogvliet-boerensoepgroenten1,718524000,Hoogvliet,Boerensoepgroenten,350 gram,1.69,1.69,Farmer's soup vegetables
https://www.hoogvliet.com/product/fresh-amp-easy-verspakket-tomatensoep,689604000,Fresh & easy,Verspakket tomatensoep,1.055 kilo,3.99,3.99,Fresh package tomato soup
https://www.hoogvliet.com/product/hoogvliet-spinazie-baby,675817000,Hoogvliet,Spinazie baby,100 gram,1.25,1.25,Spinach baby
https://www.hoogvliet.com/product/hoogvliet-spitskool6,718905000,Hoogvliet,Spitskool,200 gram,1.09,1.09,Pointed cabbage
https://www.hoogvliet.com/product/fresh-amp-easy-verspakket-italiaanse-lasagne,691550000,Fresh & easy,Verspakket Italiaanse lasagne,1.055 kilo,5.38,5.38,Fresh package of Italian lasagna
https://www.hoogvliet.com/product/g-apos-woon-bloemkool1,727218000,G'woon,Bloemkool,800 gram,1.99,1.99,Cauliflower
https://www.hoogvliet.com/product/bonduelle-broccoliroosjes,60856000,Bonduelle,Broccoliroosjes,300 gram,2.26,2.26,Broccoli florets
https://www.hoogvliet.com/product/gratin-naturel-met-kaas,80326000,,Gratin naturel met kaas,500 gram,2.49,2.49,Natural gratin with cheese
https://www.hoogvliet.com/product/hoogvliet-bonte-slamelange,682572000,Hoogvliet,Bonte slamelange,300 gram,1.39,1.39,Varied lettuce mixture
https://www.hoogvliet.com/product/hoogvliet-spitskool-stuks,720724000,Hoogvliet,Spitskool stuks,1 stuk,1.69,1.69,Pointed cabbage pieces
https://www.hoogvliet.com/product/g-apos-woon-kersen,681537000,G'woon,Kersen,250 gram,2.39,2.39,Cherries
https://www.hoogvliet.com/product/healthyhand-granaatappelpitjes,725765000,Healthyhand,Granaatappelpitjes,90 gram,2.46,2.46,Pomegranate seeds
https://www.hoogvliet.com/product/g-apos-woon-spinazie-grof-gehakt,717725000,G'woon,Spinazie grof gehakt,500 gram,1.28,1.28,Spinach coarsely chopped
https://www.hoogvliet.com/product/hoogvliet-groentemix,75228000,Hoogvliet,Groentemix,400 gram,2.75,2.75,Vegetable mix
https://www.hoogvliet.com/product/heinz-tomato-blokjes,54986000,Heinz,Tomato blokjes,390 gram,1.23,1.23,Tomato cubes
https://www.hoogvliet.com/product/bonduelle-crispy-ma-s1,490393000,Bonduelle,Crispy maïs,150 gram,1.39,1.39,Crispy corn
https://www.hoogvliet.com/product/hak-doperwtjes-extra-fijn,76912000,Hak,Doperwtjes extra fijn,350 gram,2.25,2.25,Peas extra fine
https://www.hoogvliet.com/product/bonduelle-franse-sperzieboontjes-zeer-fijn1,60848000,Bonduelle,Franse sperzieboontjes - zeer fijn,400 gram,2.36,2.36,French green beans - very fine
https://www.hoogvliet.com/product/bio-biologische-trostomaten,61918000,Bio+,Biologische trostomaten,500 gram,2.49,2.49,Organic tomatoes on the vine
https://www.hoogvliet.com/product/g-apos-woon-sperziebonen-gebroken4,690898000,G'woon,Sperziebonen gebroken,800 gram,1.69,1.69,Green beans broken
